Year,1st,2nd,3rd,4th,Average
2007,20,45.7,73,54.75,48.36
2008,14.5,45.3,73.85,50.4,46.01
2009,10.9,46.8,67.65,44.35,42.43
2010,12.2,53.95,74.35,52.85,48.34
2011,13.7,47.15,77.55,52.8,47.80
2012,24,50.05,79.35,48.45,50.46
2013,21,44.25,72.55,49.7,46.88
2014,10.2,45.95,68.95,49,43.53
2015,20.75,49.65,71.85,51.95,48.55
2016,18.85,49.1,72.75,55.05,48.94
2017,23.7,51.3,73.25,52.35,50.15
2018,17.8,38.15,71.75,47.4,43.78
2019,15.7,49.45,76.7,47.4,47.31
