Year,1st,2nd,3rd,4th,Average
2007,23.6,48.45,75.86,58.35,51.57
2008,19.65,46.9,74.75,53.65,48.74
2009,18.15,50,69.15,44.8,45.53
2010,14.1,55.55,75.25,55.95,50.21
2011,15.3,48.5,78.95,54.5,49.31
2012,27.85,53.55,81.2,50.5,53.28
2013,24.75,44.35,73.3,50.45,48.21
2014,17.2,49.3,70.3,53.1,47.48
2015,23.75,52.3,73.35,54.25,50.91
2016,56.55,50.75,73.4,56.55,59.31
2017,24.15,51.5,76.8,53.6,51.51
2018,18,41.1,73.9,48.15,45.29
2019,19.35,50.55,74.95,47.8,48.16
