Year,1st,2nd,3rd,4th,Average
2007,23.55,47.6,73.15,57.35,50.41
2008,19.9,48.65,72.2,51.65,48.10
2009,13.35,47.25,68.05,46.9,43.89
2010,15.65,55.85,75.85,54.2,50.39
2011,17.7,48.25,79.4,53.15,49.63
2012,26.35,52.85,80.75,52.9,53.21
2013,25,46.45,72.35,51.85,48.91
2014,15.35,48.7,69.75,51.35,46.29
2015,21.85,52.05,73.1,53.1,50.03
2016,22.25,50.2,73.55,57.6,50.90
2017,26.15,51.6,74.95,54.8,51.88
2018,18.75,40.45,72.95,50,45.54
2019,20.5,49.85,77.35,48.15,48.96
