Year,1st,2nd,3rd,4th,Average
2007,62.25,68.65,82.65,78.05,72.90
2008,60.1,69.15,81,73.85,71.03
2009,57.9,69.85,81.25,76.6,71.40
2010,53.35,69.6,83.3,72.55,69.70
2011,55.2,72.15,81.7,71.35,70.10
2012,58.7,71.35,82.15,74.15,71.59
2013,64.3,71.25,81.1,74.5,72.79
2014,56.15,70.85,81.4,73.2,70.40
2015,59.4,75.3,82.45,74.95,73.03
2016,57.45,71.3,84.05,75.25,72.01
2017,62.55,71.85,82.8,75.65,73.21
2018,55.55,70.05,81.75,76.55,70.98
2019,59,71,82.25,79.25,72.88
