Year,1st,2nd,3rd,4th,Average
2007,54.05,64.35,83.55,73.3,68.81
2008,51.3,66.9,82.1,67.55,66.96
2009,52.1,67.05,81.4,72.2,68.19
2010,46.9,67.65,84.45,68.45,66.86
2011,46.6,69.35,83.5,66.25,66.43
2012,54.65,69.85,82.95,70.35,69.45
2013,59.65,68.05,80.95,71.4,70.01
2014,48.15,67.9,82.3,69.15,66.88
2015,52.55,73.95,85.45,72.2,71.04
2016,51.6,69.15,85.05,73.2,69.75
2017,57.95,69.85,82.8,72.8,70.85
2018,48.1,66.1,82.2,73.95,67.59
2019,52.45,67.15,82.9,75.35,69.46
