Year,1st,2nd,3rd,4th,Average
2007,64.9,70.95,83.65,79.8,74.83
2008,62.05,72.4,81.8,75.1,72.84
2009,61.15,73.75,83.15,78,74.01
2010,54.7,72.75,84.25,76.15,71.96
2011,58.7,76.35,84.4,73.9,73.34
2012,63.1,74.8,83.25,76.4,74.39
2013,67.1,75.45,82.4,77.25,75.55
2014,57.2,72.6,83,75.85,72.16
2015,62.4,78,83.2,78.05,75.41
2016,60.2,74.55,84.85,78.15,74.44
2017,66.3,77.05,84.2,78.15,76.43
2018,59.75,74.55,84.1,80,74.60
2019,61,74.7,83.1,81.15,74.99
