Year,1st,2nd,3rd,4th,Average
2007,72.5,75.05,83.9,81.5,78.24
2008,70.3,76.8,82.9,78.25,77.06
2009,67.55,77,84.95,82.4,77.98
2010,64.05,76.35,84.9,79.55,76.21
2011,67.1,80.1,84.7,78.55,77.61
2012,68.55,75.9,83.4,79.45,76.83
2013,73.2,77.95,82.45,80.55,78.54
2014,67.9,77.5,83.85,79.8,77.26
2015,70.85,80.35,84.6,80.5,79.08
2016,67.35,77.05,84.7,80.75,77.46
2017,72.65,78,85.7,80.85,79.30
2018,68.1,77.1,83.65,81.3,77.54
2019,68.05,77.65,85.05,83.55,78.58
