Year,1st,2nd,3rd,4th,Average
2008,50.6,67.2,84.15,67.95,67.48
2009,53.3,66,81.8,70.6,67.93
2010,46.75,67.2,84.1,70.6,67.16
2011,49.15,70.3,83.55,66.75,67.44
2012,58.2,70.05,83.1,70.05,70.35
2013,58.4,67.6,80.9,71.7,69.65
2014,46.05,67.65,80.7,69.95,66.09
2015,51.25,71.4,84.5,71.35,69.63
2016,50.7,69.15,84.4,74.45,69.68
2017,60.75,71.45,84.75,73.45,72.60
2018,48.6,66.25,83.55,74.8,68.30
2019,53.55,67.3,84.1,74.75,69.93
