Year,1st,2nd,3rd,4th,Average
2007,23.5,47.45,75,56.55,50.63
2008,17.55,46.6,74,51.7,47.46
2009,17,47.35,69.25,45.6,44.80
2010,15.4,55.85,76.7,53.8,50.44
2011,16.55,48.85,80.55,52.75,49.68
2012,28.5,53.65,81.9,51.45,53.88
2013,23.4,45.15,73.6,50.25,48.10
2014,17.8,49.7,70.95,52.45,47.73
2015,23.6,51.6,74.7,53.55,50.86
2016,21.9,51.6,72.35,57.45,50.83
2017,26.9,52.45,78.8,55.3,53.36
2018,20.15,41.15,75.9,49.5,46.68
2019,20.9,50.9,77.45,48.05,49.33
