Year,1st,2nd,3rd,4th,Average
2007,20.1,44.8,73.05,55,48.24
2008,14.5,44.5,72.2,49.95,45.29
2009,8.9,45.75,67.7,42.3,41.16
2010,12.6,53.4,73.25,53.4,48.16
2011,12.55,45,76.25,51.85,46.41
2012,24.3,49.75,77.95,46.9,49.73
2013,18.6,41.2,71.4,48.8,45.00
2014,10.85,44.85,67.3,49.4,43.10
2015,18.9,48.8,70.75,51.25,47.43
2016,16.7,48.7,71.8,53.5,47.68
2017,22.05,49.6,73.6,52.4,49.41
2018,14.8,37.2,73,47.6,43.15
2019,16.45,48.1,74.4,46.35,46.33
